Outlet_ID,Outlet_Name,Records,Average_Employees,Average_Productivity_Score,Average_Attendance_Rate,Average_Staff_Performance_Score,Top_Performer_Months,Needs_Improvement_Months,Balanced_Months,Understaffed_Months,Overstaffed_Months,Latest_Month,Latest_Staff_Performance_Score,Latest_Staff_Category,Latest_Scheduling_Status,Workforce_Category,Workforce_Alert_Level,Workforce_Insight,Workforce_Recommendation
OUT0170,Franchise Outlet 0170,40,14.0,64.19,94.34,74.09,0,0,26,0,14,2026-04-01,76.42,Meets Expectations,Balanced,Meets Expectations,Low,"Average staff performance is 74.1/100 with 94.3% attendance. The latest workforce schedule is balanced, and 0 of 40 months were classified as needing improvement.",Maintain the current schedule and continue monitoring attendance and productivity.
OUT0171,Franchise Outlet 0171,40,11.0,100.0,94.68,93.62,40,0,0,40,0,2026-04-01,94.86,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 93.6/100 with 94.7% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0172,Franchise Outlet 0172,40,16.0,51.71,92.81,65.14,0,26,0,0,40,2026-04-01,67.08,Meets Expectations,Overstaffed,Needs Improvement,High,"Average staff performance is 65.1/100 with 92.8% attendance. The latest workforce schedule is overstaffed, and 26 of 40 months were classified as needing improvement.",Rebalance excess shift coverage and use coaching or role changes to improve staff productivity.
OUT0173,Franchise Outlet 0173,40,20.0,44.19,92.53,61.36,0,39,0,0,40,2026-04-01,60.94,Needs Improvement,Overstaffed,Needs Improvement,High,"Average staff performance is 61.4/100 with 92.5% attendance. The latest workforce schedule is overstaffed, and 39 of 40 months were classified as needing improvement.",Rebalance excess shift coverage and use coaching or role changes to improve staff productivity.
OUT0174,Franchise Outlet 0174,40,22.0,72.5,93.82,77.67,0,0,21,19,0,2026-04-01,75.39,Meets Expectations,Balanced,Meets Expectations,Low,"Average staff performance is 77.7/100 with 93.8% attendance. The latest workforce schedule is balanced, and 0 of 40 months were classified as needing improvement.",Maintain the current schedule and continue monitoring attendance and productivity.
OUT0175,Franchise Outlet 0175,40,23.0,100.0,95.65,95.45,40,0,0,40,0,2026-04-01,96.84,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 95.4/100 with 95.6% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0176,Franchise Outlet 0176,40,17.0,54.06,92.46,65.74,0,22,0,0,40,2026-04-01,68.51,Meets Expectations,Overstaffed,Needs Improvement,High,"Average staff performance is 65.7/100 with 92.5% attendance. The latest workforce schedule is overstaffed, and 22 of 40 months were classified as needing improvement.",Rebalance excess shift coverage and use coaching or role changes to improve staff productivity.
OUT0177,Franchise Outlet 0177,40,19.0,80.9,94.44,82.9,0,0,5,35,0,2026-04-01,84.74,Meets Expectations,Understaffed,Meets Expectations,Medium,"Average staff performance is 82.9/100 with 94.4% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0178,Franchise Outlet 0178,40,17.0,99.95,94.92,93.93,39,0,0,40,0,2026-04-01,97.43,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 93.9/100 with 94.9% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0179,Franchise Outlet 0179,40,13.0,99.53,94.02,91.07,22,0,0,40,0,2026-04-01,84.15,Meets Expectations,Understaffed,Top Performer,Medium,"Average staff performance is 91.1/100 with 94.0% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0180,Franchise Outlet 0180,40,15.0,55.2,94.58,70.55,0,1,0,1,39,2026-04-01,68.17,Meets Expectations,Overstaffed,Meets Expectations,Medium,"Average staff performance is 70.5/100 with 94.6% attendance. The latest workforce schedule is overstaffed, and 1 of 40 months were classified as needing improvement.",Align staffing hours with demand and move spare capacity to busier periods.
OUT0181,Franchise Outlet 0181,40,21.0,90.43,94.85,89.03,15,0,0,39,1,2026-04-01,89.51,Meets Expectations,Understaffed,Meets Expectations,Medium,"Average staff performance is 89.0/100 with 94.9% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0182,Franchise Outlet 0182,40,13.0,81.35,92.95,80.29,0,0,4,36,0,2026-04-01,80.57,Meets Expectations,Understaffed,Meets Expectations,Medium,"Average staff performance is 80.3/100 with 93.0% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0183,Franchise Outlet 0183,40,19.0,62.66,93.85,72.64,0,0,25,0,15,2026-04-01,75.11,Meets Expectations,Balanced,Meets Expectations,Low,"Average staff performance is 72.6/100 with 93.8% attendance. The latest workforce schedule is balanced, and 0 of 40 months were classified as needing improvement.",Maintain the current schedule and continue monitoring attendance and productivity.
OUT0184,Franchise Outlet 0184,40,15.0,31.32,92.83,54.35,0,40,0,0,40,2026-04-01,51.7,Needs Improvement,Overstaffed,Needs Improvement,High,"Average staff performance is 54.3/100 with 92.8% attendance. The latest workforce schedule is overstaffed, and 40 of 40 months were classified as needing improvement.",Rebalance excess shift coverage and use coaching or role changes to improve staff productivity.
OUT0185,Franchise Outlet 0185,40,9.0,86.26,95.16,87.75,5,0,1,39,0,2026-04-01,93.48,Top Performer,Understaffed,Meets Expectations,Medium,"Average staff performance is 87.7/100 with 95.2% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0186,Franchise Outlet 0186,40,17.0,45.38,94.19,64.98,0,30,0,0,40,2026-04-01,66.52,Meets Expectations,Overstaffed,Needs Improvement,High,"Average staff performance is 65.0/100 with 94.2% attendance. The latest workforce schedule is overstaffed, and 30 of 40 months were classified as needing improvement.",Rebalance excess shift coverage and use coaching or role changes to improve staff productivity.
OUT0187,Franchise Outlet 0187,40,17.0,62.83,93.38,71.62,0,0,28,0,12,2026-04-01,73.0,Meets Expectations,Balanced,Meets Expectations,Low,"Average staff performance is 71.6/100 with 93.4% attendance. The latest workforce schedule is balanced, and 0 of 40 months were classified as needing improvement.",Maintain the current schedule and continue monitoring attendance and productivity.
OUT0188,Franchise Outlet 0188,40,13.0,45.31,93.26,62.62,0,39,0,0,40,2026-04-01,66.07,Needs Improvement,Overstaffed,Needs Improvement,High,"Average staff performance is 62.6/100 with 93.3% attendance. The latest workforce schedule is overstaffed, and 39 of 40 months were classified as needing improvement.",Rebalance excess shift coverage and use coaching or role changes to improve staff productivity.
OUT0189,Franchise Outlet 0189,40,21.0,33.07,92.96,56.39,0,39,0,0,40,2026-04-01,58.36,Needs Improvement,Overstaffed,Needs Improvement,High,"Average staff performance is 56.4/100 with 93.0% attendance. The latest workforce schedule is overstaffed, and 39 of 40 months were classified as needing improvement.",Rebalance excess shift coverage and use coaching or role changes to improve staff productivity.
OUT0190,Franchise Outlet 0190,40,19.0,59.44,94.44,72.6,0,1,11,0,29,2026-04-01,73.94,Meets Expectations,Balanced,Meets Expectations,Low,"Average staff performance is 72.6/100 with 94.4% attendance. The latest workforce schedule is balanced, and 1 of 40 months were classified as needing improvement.",Maintain the current schedule and continue monitoring attendance and productivity.
OUT0191,Franchise Outlet 0191,40,12.0,53.01,92.44,64.94,0,31,0,0,40,2026-04-01,64.76,Needs Improvement,Overstaffed,Needs Improvement,High,"Average staff performance is 64.9/100 with 92.4% attendance. The latest workforce schedule is overstaffed, and 31 of 40 months were classified as needing improvement.",Rebalance excess shift coverage and use coaching or role changes to improve staff productivity.
OUT0192,Franchise Outlet 0192,40,12.0,100.0,95.31,94.94,40,0,0,40,0,2026-04-01,96.73,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 94.9/100 with 95.3% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0193,Franchise Outlet 0193,40,16.0,75.3,93.84,78.72,0,0,7,33,0,2026-04-01,76.5,Meets Expectations,Understaffed,Meets Expectations,Medium,"Average staff performance is 78.7/100 with 93.8% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0194,Franchise Outlet 0194,40,16.0,84.79,95.12,86.8,4,0,0,40,0,2026-04-01,83.85,Meets Expectations,Understaffed,Meets Expectations,Medium,"Average staff performance is 86.8/100 with 95.1% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0195,Franchise Outlet 0195,40,18.0,99.94,95.08,94.46,40,0,0,40,0,2026-04-01,94.91,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 94.5/100 with 95.1% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0196,Franchise Outlet 0196,40,11.0,100.0,94.64,93.55,37,0,0,40,0,2026-04-01,91.91,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 93.5/100 with 94.6% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0197,Franchise Outlet 0197,40,27.0,51.18,93.67,66.76,0,15,0,0,40,2026-04-01,66.22,Meets Expectations,Overstaffed,Meets Expectations,Medium,"Average staff performance is 66.8/100 with 93.7% attendance. The latest workforce schedule is overstaffed, and 15 of 40 months were classified as needing improvement.",Align staffing hours with demand and move spare capacity to busier periods.
OUT0198,Franchise Outlet 0198,40,9.0,100.0,93.68,91.02,21,0,0,40,0,2026-04-01,92.03,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 91.0/100 with 93.7% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0199,Franchise Outlet 0199,40,5.0,100.0,93.72,91.22,23,0,0,40,0,2026-04-01,89.47,Meets Expectations,Understaffed,Top Performer,Medium,"Average staff performance is 91.2/100 with 93.7% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0200,Franchise Outlet 0200,40,16.0,62.49,95.3,76.53,0,0,27,1,12,2026-04-01,79.45,Meets Expectations,Balanced,Meets Expectations,Low,"Average staff performance is 76.5/100 with 95.3% attendance. The latest workforce schedule is balanced, and 0 of 40 months were classified as needing improvement.",Maintain the current schedule and continue monitoring attendance and productivity.
OUT0201,Franchise Outlet 0201,40,15.0,37.84,94.26,61.32,0,40,0,0,40,2026-04-01,62.72,Needs Improvement,Overstaffed,Needs Improvement,High,"Average staff performance is 61.3/100 with 94.3% attendance. The latest workforce schedule is overstaffed, and 40 of 40 months were classified as needing improvement.",Rebalance excess shift coverage and use coaching or role changes to improve staff productivity.
OUT0202,Franchise Outlet 0202,40,12.0,96.72,95.14,93.14,35,0,0,40,0,2026-04-01,91.66,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 93.1/100 with 95.1% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0203,Franchise Outlet 0203,40,12.0,100.0,94.67,93.37,40,0,0,40,0,2026-04-01,92.3,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 93.4/100 with 94.7% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0204,Franchise Outlet 0204,40,19.0,31.29,93.12,55.22,0,40,0,0,40,2026-04-01,56.5,Needs Improvement,Overstaffed,Needs Improvement,High,"Average staff performance is 55.2/100 with 93.1% attendance. The latest workforce schedule is overstaffed, and 40 of 40 months were classified as needing improvement.",Rebalance excess shift coverage and use coaching or role changes to improve staff productivity.
OUT0205,Franchise Outlet 0205,40,13.0,38.08,92.65,57.88,0,40,0,0,40,2026-04-01,60.5,Needs Improvement,Overstaffed,Needs Improvement,High,"Average staff performance is 57.9/100 with 92.7% attendance. The latest workforce schedule is overstaffed, and 40 of 40 months were classified as needing improvement.",Rebalance excess shift coverage and use coaching or role changes to improve staff productivity.
OUT0206,Franchise Outlet 0206,40,15.0,100.0,94.76,94.1,40,0,0,40,0,2026-04-01,93.88,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 94.1/100 with 94.8% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0207,Franchise Outlet 0207,40,24.0,86.06,94.8,87.02,5,0,0,39,1,2026-04-01,88.6,Meets Expectations,Understaffed,Meets Expectations,Medium,"Average staff performance is 87.0/100 with 94.8% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0208,Franchise Outlet 0208,40,15.0,45.63,93.37,63.57,0,36,0,0,40,2026-04-01,63.01,Needs Improvement,Overstaffed,Needs Improvement,High,"Average staff performance is 63.6/100 with 93.4% attendance. The latest workforce schedule is overstaffed, and 36 of 40 months were classified as needing improvement.",Rebalance excess shift coverage and use coaching or role changes to improve staff productivity.
OUT0209,Franchise Outlet 0209,40,25.0,57.91,93.55,70.16,0,3,4,0,36,2026-04-01,69.86,Meets Expectations,Overstaffed,Meets Expectations,Medium,"Average staff performance is 70.2/100 with 93.6% attendance. The latest workforce schedule is overstaffed, and 3 of 40 months were classified as needing improvement.",Align staffing hours with demand and move spare capacity to busier periods.
OUT0210,Franchise Outlet 0210,40,10.0,79.45,94.59,83.08,0,0,4,36,0,2026-04-01,81.37,Meets Expectations,Understaffed,Meets Expectations,Medium,"Average staff performance is 83.1/100 with 94.6% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0211,Franchise Outlet 0211,40,11.0,86.45,93.97,84.73,1,0,0,40,0,2026-04-01,80.85,Meets Expectations,Understaffed,Meets Expectations,Medium,"Average staff performance is 84.7/100 with 94.0% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0212,Franchise Outlet 0212,40,25.0,72.5,94.62,78.98,0,0,22,18,0,2026-04-01,78.89,Meets Expectations,Balanced,Meets Expectations,Low,"Average staff performance is 79.0/100 with 94.6% attendance. The latest workforce schedule is balanced, and 0 of 40 months were classified as needing improvement.",Maintain the current schedule and continue monitoring attendance and productivity.
OUT0213,Franchise Outlet 0213,40,17.0,52.51,94.06,67.68,0,8,0,0,40,2026-04-01,67.44,Meets Expectations,Overstaffed,Meets Expectations,Medium,"Average staff performance is 67.7/100 with 94.1% attendance. The latest workforce schedule is overstaffed, and 8 of 40 months were classified as needing improvement.",Align staffing hours with demand and move spare capacity to busier periods.
OUT0214,Franchise Outlet 0214,40,10.0,68.03,92.48,72.32,0,0,31,8,1,2026-04-01,76.5,Meets Expectations,Understaffed,Meets Expectations,Medium,"Average staff performance is 72.3/100 with 92.5% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0215,Franchise Outlet 0215,40,13.0,100.0,95.06,94.25,40,0,0,40,0,2026-04-01,97.07,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 94.2/100 with 95.1% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0216,Franchise Outlet 0216,40,19.0,56.67,94.75,72.05,0,0,2,0,38,2026-04-01,76.36,Meets Expectations,Balanced,Meets Expectations,Low,"Average staff performance is 72.0/100 with 94.7% attendance. The latest workforce schedule is balanced, and 0 of 40 months were classified as needing improvement.",Maintain the current schedule and continue monitoring attendance and productivity.
OUT0217,Franchise Outlet 0217,40,27.0,98.56,95.14,93.89,36,0,0,40,0,2026-04-01,93.49,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 93.9/100 with 95.1% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0218,Franchise Outlet 0218,40,29.0,57.81,94.25,71.51,0,0,4,0,36,2026-04-01,74.98,Meets Expectations,Overstaffed,Meets Expectations,Medium,"Average staff performance is 71.5/100 with 94.3% attendance. The latest workforce schedule is overstaffed, and 0 of 40 months were classified as needing improvement.",Align staffing hours with demand and move spare capacity to busier periods.
OUT0219,Franchise Outlet 0219,40,10.0,99.85,94.08,92.28,31,0,0,40,0,2026-04-01,92.76,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 92.3/100 with 94.1% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0220,Franchise Outlet 0220,40,11.0,62.2,95.62,76.6,0,0,29,0,11,2026-04-01,77.67,Meets Expectations,Overstaffed,Meets Expectations,Medium,"Average staff performance is 76.6/100 with 95.6% attendance. The latest workforce schedule is overstaffed, and 0 of 40 months were classified as needing improvement.",Align staffing hours with demand and move spare capacity to busier periods.
OUT0221,Franchise Outlet 0221,40,16.0,97.28,94.53,91.54,28,0,0,40,0,2026-04-01,93.03,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 91.5/100 with 94.5% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0222,Franchise Outlet 0222,40,16.0,99.76,95.52,94.99,40,0,0,40,0,2026-04-01,92.17,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 95.0/100 with 95.5% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0223,Franchise Outlet 0223,40,19.0,66.43,92.8,72.45,0,0,38,0,2,2026-04-01,75.15,Meets Expectations,Balanced,Meets Expectations,Low,"Average staff performance is 72.4/100 with 92.8% attendance. The latest workforce schedule is balanced, and 0 of 40 months were classified as needing improvement.",Maintain the current schedule and continue monitoring attendance and productivity.
OUT0224,Franchise Outlet 0224,40,18.0,99.34,95.6,94.96,40,0,0,40,0,2026-04-01,98.85,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 95.0/100 with 95.6% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0225,Franchise Outlet 0225,40,7.0,100.0,93.21,90.09,16,0,0,40,0,2026-04-01,90.03,Meets Expectations,Understaffed,Meets Expectations,Medium,"Average staff performance is 90.1/100 with 93.2% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0226,Franchise Outlet 0226,40,17.0,55.82,93.12,67.65,0,10,4,0,36,2026-04-01,71.71,Meets Expectations,Balanced,Meets Expectations,Low,"Average staff performance is 67.6/100 with 93.1% attendance. The latest workforce schedule is balanced, and 10 of 40 months were classified as needing improvement.",Maintain the current schedule and continue monitoring attendance and productivity.
OUT0227,Franchise Outlet 0227,40,18.0,63.89,92.43,70.59,0,0,34,0,6,2026-04-01,71.72,Meets Expectations,Balanced,Meets Expectations,Low,"Average staff performance is 70.6/100 with 92.4% attendance. The latest workforce schedule is balanced, and 0 of 40 months were classified as needing improvement.",Maintain the current schedule and continue monitoring attendance and productivity.
OUT0228,Franchise Outlet 0228,40,15.0,79.28,94.92,83.3,0,0,2,38,0,2026-04-01,83.15,Meets Expectations,Understaffed,Meets Expectations,Medium,"Average staff performance is 83.3/100 with 94.9% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0229,Franchise Outlet 0229,40,14.0,56.53,93.61,69.46,0,2,2,0,38,2026-04-01,72.99,Meets Expectations,Balanced,Meets Expectations,Low,"Average staff performance is 69.5/100 with 93.6% attendance. The latest workforce schedule is balanced, and 2 of 40 months were classified as needing improvement.",Maintain the current schedule and continue monitoring attendance and productivity.
OUT0230,Franchise Outlet 0230,40,12.0,100.0,95.41,95.36,40,0,0,40,0,2026-04-01,93.32,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 95.4/100 with 95.4% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0231,Franchise Outlet 0231,40,6.0,77.44,93.57,79.48,0,0,3,37,0,2026-04-01,83.56,Meets Expectations,Understaffed,Meets Expectations,Medium,"Average staff performance is 79.5/100 with 93.6% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0232,Franchise Outlet 0232,40,22.0,31.37,93.2,55.29,0,40,0,0,40,2026-04-01,55.79,Needs Improvement,Overstaffed,Needs Improvement,High,"Average staff performance is 55.3/100 with 93.2% attendance. The latest workforce schedule is overstaffed, and 40 of 40 months were classified as needing improvement.",Rebalance excess shift coverage and use coaching or role changes to improve staff productivity.
OUT0233,Franchise Outlet 0233,40,11.0,78.69,95.2,84.44,2,0,7,33,0,2026-04-01,84.77,Meets Expectations,Understaffed,Meets Expectations,Medium,"Average staff performance is 84.4/100 with 95.2% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0234,Franchise Outlet 0234,40,19.0,91.23,94.87,89.58,14,0,0,40,0,2026-04-01,93.07,Top Performer,Understaffed,Meets Expectations,Medium,"Average staff performance is 89.6/100 with 94.9% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0235,Franchise Outlet 0235,40,11.0,99.81,93.65,91.07,23,0,0,40,0,2026-04-01,91.67,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 91.1/100 with 93.7% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0236,Franchise Outlet 0236,40,15.0,46.98,94.29,66.06,0,21,0,0,40,2026-04-01,65.31,Needs Improvement,Overstaffed,Needs Improvement,High,"Average staff performance is 66.1/100 with 94.3% attendance. The latest workforce schedule is overstaffed, and 21 of 40 months were classified as needing improvement.",Rebalance excess shift coverage and use coaching or role changes to improve staff productivity.
OUT0237,Franchise Outlet 0237,40,22.0,74.31,94.26,79.1,0,0,18,22,0,2026-04-01,82.25,Meets Expectations,Understaffed,Meets Expectations,Medium,"Average staff performance is 79.1/100 with 94.3% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0238,Franchise Outlet 0238,40,19.0,51.82,92.99,65.57,0,24,0,0,40,2026-04-01,67.31,Meets Expectations,Overstaffed,Needs Improvement,High,"Average staff performance is 65.6/100 with 93.0% attendance. The latest workforce schedule is overstaffed, and 24 of 40 months were classified as needing improvement.",Rebalance excess shift coverage and use coaching or role changes to improve staff productivity.
OUT0239,Franchise Outlet 0239,40,17.0,96.78,94.34,90.71,18,0,0,40,0,2026-04-01,92.09,Top Performer,Understaffed,Meets Expectations,Medium,"Average staff performance is 90.7/100 with 94.3% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0240,Franchise Outlet 0240,40,15.0,100.0,94.48,93.03,35,0,0,40,0,2026-04-01,92.21,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 93.0/100 with 94.5% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0241,Franchise Outlet 0241,40,9.0,45.16,93.25,62.55,0,38,0,2,38,2026-04-01,65.85,Needs Improvement,Overstaffed,Needs Improvement,High,"Average staff performance is 62.5/100 with 93.3% attendance. The latest workforce schedule is overstaffed, and 38 of 40 months were classified as needing improvement.",Rebalance excess shift coverage and use coaching or role changes to improve staff productivity.
OUT0242,Franchise Outlet 0242,40,15.0,58.24,92.93,68.46,0,6,2,0,38,2026-04-01,67.59,Meets Expectations,Overstaffed,Meets Expectations,Medium,"Average staff performance is 68.5/100 with 92.9% attendance. The latest workforce schedule is overstaffed, and 6 of 40 months were classified as needing improvement.",Align staffing hours with demand and move spare capacity to busier periods.
OUT0243,Franchise Outlet 0243,40,20.0,60.98,93.79,71.95,0,0,14,0,26,2026-04-01,71.53,Meets Expectations,Overstaffed,Meets Expectations,Medium,"Average staff performance is 71.9/100 with 93.8% attendance. The latest workforce schedule is overstaffed, and 0 of 40 months were classified as needing improvement.",Align staffing hours with demand and move spare capacity to busier periods.
OUT0244,Franchise Outlet 0244,40,11.0,77.32,94.67,81.32,0,0,9,31,0,2026-04-01,82.85,Meets Expectations,Understaffed,Meets Expectations,Medium,"Average staff performance is 81.3/100 with 94.7% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0245,Franchise Outlet 0245,40,20.0,99.19,95.67,95.28,39,0,0,40,0,2026-04-01,98.94,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 95.3/100 with 95.7% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0246,Franchise Outlet 0246,40,15.0,50.79,94.25,67.66,0,10,0,0,40,2026-04-01,71.32,Meets Expectations,Overstaffed,Meets Expectations,Medium,"Average staff performance is 67.7/100 with 94.2% attendance. The latest workforce schedule is overstaffed, and 10 of 40 months were classified as needing improvement.",Align staffing hours with demand and move spare capacity to busier periods.
OUT0247,Franchise Outlet 0247,40,15.0,99.59,95.15,94.42,38,0,0,40,0,2026-04-01,96.19,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 94.4/100 with 95.1% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0248,Franchise Outlet 0248,40,15.0,31.68,92.85,55.3,0,40,0,0,40,2026-04-01,58.78,Needs Improvement,Overstaffed,Needs Improvement,High,"Average staff performance is 55.3/100 with 92.8% attendance. The latest workforce schedule is overstaffed, and 40 of 40 months were classified as needing improvement.",Rebalance excess shift coverage and use coaching or role changes to improve staff productivity.
OUT0249,Franchise Outlet 0249,40,22.0,90.51,95.48,90.23,18,0,0,39,1,2026-04-01,90.25,Meets Expectations,Understaffed,Meets Expectations,Medium,"Average staff performance is 90.2/100 with 95.5% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0250,Franchise Outlet 0250,40,27.0,100.0,95.34,95.19,40,0,0,40,0,2026-04-01,92.26,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 95.2/100 with 95.3% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0251,Franchise Outlet 0251,40,9.0,70.98,92.57,74.62,0,0,30,10,0,2026-04-01,77.34,Meets Expectations,Balanced,Meets Expectations,Low,"Average staff performance is 74.6/100 with 92.6% attendance. The latest workforce schedule is balanced, and 0 of 40 months were classified as needing improvement.",Maintain the current schedule and continue monitoring attendance and productivity.
OUT0252,Franchise Outlet 0252,40,15.0,68.22,94.87,78.02,0,0,22,11,7,2026-04-01,78.33,Meets Expectations,Understaffed,Meets Expectations,Medium,"Average staff performance is 78.0/100 with 94.9% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
