Outlet_ID,Records,Total_Marketing_Spend,Total_Sales_Revenue,Total_Orders,Average_Conversion_Rate,Revenue_Per_Marketing_Rupee,Marketing_Spend_Percentage,Marketing_Category,Alert_Level,Marketing_Insights,Recommendations,Marketing_Effectiveness_Score,Effectiveness_Category,Campaign_Records,Total_Marketing_Reach,Total_Marketing_Conversions,Average_Campaign_ROI,High_Performing_Campaigns,Needs_Improvement_Campaigns,Primary_Campaign_Type,Customer_Engagement_Rate,Campaign_Performance_Category,Marketing_Effectiveness_Insight,Marketing_Effectiveness_Recommendation
OUT0134,39,2564126.56,55972312.38,38051.0,31.77,21.83,4.58,High Performing,Low,Marketing efficiency is among the stronger outlet results. Conversion rate is among the stronger outlet results. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring successful campaigns and consider scaling effective activities.,67.52,Moderate,40,30616,4817,2.07,13,7,Digital Campaign,15.73,Moderate,"Marketing effectiveness is 67.5/100 (Moderate). Campaign ROI averages 2.07, with 15.73% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0135,40,1887082.55,37217038.84,22314.0,20.63,19.72,5.07,Moderate,Low,Marketing efficiency is within the middle range of outlet performance. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring marketing performance and optimize campaigns using sales and conversion trends.,52.91,Moderate,40,25857,2498,1.4,4,17,Digital Campaign,9.66,Moderate,"Marketing effectiveness is 52.9/100 (Moderate). Campaign ROI averages 1.40, with 9.66% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0136,38,476586.4,9378698.72,19552.0,17.28,19.68,5.08,Needs Improvement,Medium,Marketing efficiency is within the middle range of outlet performance. Conversion rate is below the lower-performing outlet range. Marketing spend represents a relatively lower proportion of sales revenue.,"Improve campaign targeting, customer engagement, offers, and conversion-focused activities.",49.74,Moderate,40,23740,1969,1.03,4,25,Digital Campaign,8.29,Needs Improvement,"Marketing effectiveness is 49.7/100 (Moderate). Campaign ROI averages 1.03, with 8.29% engagement across 40 campaigns.","Review low-ROI campaigns, narrow audience targeting, and move budget to campaign types with stronger conversion results."
OUT0137,40,9185410.54,186311405.54,115326.0,28.87,20.28,4.93,Moderate,Low,Marketing efficiency is within the middle range of outlet performance. Conversion rate is among the stronger outlet results. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring marketing performance and optimize campaigns using sales and conversion trends.,71.33,Moderate,40,126407,18354,2.81,19,4,Digital Campaign,14.52,High Performing,"Marketing effectiveness is 71.3/100 (Moderate). Campaign ROI averages 2.81, with 14.52% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0138,40,2817663.56,58550176.58,61356.0,18.62,20.78,4.81,Moderate,Low,Marketing efficiency is among the stronger outlet results. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring successful campaigns and consider scaling effective activities.,57.49,Moderate,40,84335,7846,1.88,10,6,Digital Campaign,9.3,Moderate,"Marketing effectiveness is 57.5/100 (Moderate). Campaign ROI averages 1.88, with 9.30% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0139,39,5440907.8,108738907.57,60966.0,14.01,19.99,5.0,Needs Improvement,Medium,Marketing efficiency is within the middle range of outlet performance. Conversion rate is below the lower-performing outlet range. Marketing spend represents a relatively lower proportion of sales revenue.,"Improve campaign targeting, customer engagement, offers, and conversion-focused activities.",52.28,Moderate,40,134431,9496,2.43,17,1,Digital Campaign,7.06,High Performing,"Marketing effectiveness is 52.3/100 (Moderate). Campaign ROI averages 2.43, with 7.06% engagement across 40 campaigns.",Test campaign offers and targeting to improve conversion while protecting revenue per marketing rupee.
OUT0140,40,6430498.53,126933817.51,95581.0,31.87,19.74,5.07,Moderate,Low,Marketing efficiency is within the middle range of outlet performance. Conversion rate is among the stronger outlet results. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring marketing performance and optimize campaigns using sales and conversion trends.,70.66,Moderate,40,92395,14771,2.43,16,1,Digital Campaign,15.99,High Performing,"Marketing effectiveness is 70.7/100 (Moderate). Campaign ROI averages 2.43, with 15.99% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0141,39,2381245.66,48092020.36,48892.0,20.86,20.2,4.95,Moderate,Low,Marketing efficiency is within the middle range of outlet performance. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring marketing performance and optimize campaigns using sales and conversion trends.,56.94,Moderate,40,58986,6090,1.7,8,11,Digital Campaign,10.32,Moderate,"Marketing effectiveness is 56.9/100 (Moderate). Campaign ROI averages 1.70, with 10.32% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0142,40,1105274.2,21453050.46,22037.0,30.11,19.41,5.15,Moderate,Low,Marketing efficiency is within the middle range of outlet performance. Conversion rate is among the stronger outlet results. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring marketing performance and optimize campaigns using sales and conversion trends.,60.23,Moderate,40,15363,2175,1.19,6,26,Digital Campaign,14.16,Needs Improvement,"Marketing effectiveness is 60.2/100 (Moderate). Campaign ROI averages 1.19, with 14.16% engagement across 40 campaigns.","Review low-ROI campaigns, narrow audience targeting, and move budget to campaign types with stronger conversion results."
OUT0143,40,1723888.65,34620767.43,26775.0,20.42,20.08,4.98,Moderate,Low,Marketing efficiency is within the middle range of outlet performance. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring marketing performance and optimize campaigns using sales and conversion trends.,53.85,Moderate,40,30578,2928,1.47,7,19,Digital Campaign,9.58,Moderate,"Marketing effectiveness is 53.9/100 (Moderate). Campaign ROI averages 1.47, with 9.58% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0144,39,921968.76,20192821.66,35762.0,22.75,21.9,4.57,Moderate,Low,Marketing efficiency is among the stronger outlet results. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring successful campaigns and consider scaling effective activities.,59.88,Moderate,40,33119,3523,1.35,5,16,Digital Campaign,10.64,Needs Improvement,"Marketing effectiveness is 59.9/100 (Moderate). Campaign ROI averages 1.35, with 10.64% engagement across 40 campaigns.","Review low-ROI campaigns, narrow audience targeting, and move budget to campaign types with stronger conversion results."
OUT0145,36,1787167.72,33065848.88,27879.0,12.35,18.5,5.4,Needs Improvement,High,Marketing efficiency is below the lower-performing outlet range. Conversion rate is below the lower-performing outlet range. Marketing spend represents a relatively lower proportion of sales revenue.,"Review marketing campaigns and redirect spending toward better-performing activities. Improve campaign targeting, customer engagement, offers, and conversion-focused activities.",44.62,Moderate,40,58333,3511,1.25,4,24,Digital Campaign,6.02,Needs Improvement,"Marketing effectiveness is 44.6/100 (Moderate). Campaign ROI averages 1.25, with 6.02% engagement across 40 campaigns.","Review low-ROI campaigns, narrow audience targeting, and move budget to campaign types with stronger conversion results."
OUT0146,39,2015739.4,41162614.09,81635.0,26.46,20.42,4.9,Moderate,Low,Marketing efficiency is within the middle range of outlet performance. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring marketing performance and optimize campaigns using sales and conversion trends.,65.71,Moderate,40,74698,9616,1.54,5,14,Digital Campaign,12.87,Moderate,"Marketing effectiveness is 65.7/100 (Moderate). Campaign ROI averages 1.54, with 12.87% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0147,38,2912202.45,56615634.27,37266.0,21.26,19.44,5.14,Moderate,Low,Marketing efficiency is within the middle range of outlet performance. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring marketing performance and optimize campaigns using sales and conversion trends.,54.67,Moderate,40,48121,5128,1.78,7,5,Digital Campaign,10.66,Moderate,"Marketing effectiveness is 54.7/100 (Moderate). Campaign ROI averages 1.78, with 10.66% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0148,40,1596234.43,30320585.93,28061.0,17.98,19.0,5.26,Needs Improvement,Medium,Marketing efficiency is below the lower-performing outlet range. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Review marketing campaigns and redirect spending toward better-performing activities.,50.14,Moderate,40,34877,3008,1.22,3,22,Digital Campaign,8.62,Needs Improvement,"Marketing effectiveness is 50.1/100 (Moderate). Campaign ROI averages 1.22, with 8.62% engagement across 40 campaigns.","Review low-ROI campaigns, narrow audience targeting, and move budget to campaign types with stronger conversion results."
OUT0149,38,4192427.49,87041316.9,91362.0,27.15,20.76,4.82,High Performing,Low,Marketing efficiency is among the stronger outlet results. Conversion rate is among the stronger outlet results. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring successful campaigns and consider scaling effective activities.,67.98,Moderate,40,101977,13892,2.4,15,2,Digital Campaign,13.62,High Performing,"Marketing effectiveness is 68.0/100 (Moderate). Campaign ROI averages 2.40, with 13.62% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0150,40,1391043.73,28398205.01,22105.0,14.26,20.42,4.9,Needs Improvement,Medium,Marketing efficiency is within the middle range of outlet performance. Conversion rate is below the lower-performing outlet range. Marketing spend represents a relatively lower proportion of sales revenue.,"Improve campaign targeting, customer engagement, offers, and conversion-focused activities.",48.77,Moderate,40,34229,2289,1.32,4,19,Digital Campaign,6.69,Needs Improvement,"Marketing effectiveness is 48.8/100 (Moderate). Campaign ROI averages 1.32, with 6.69% engagement across 40 campaigns.","Review low-ROI campaigns, narrow audience targeting, and move budget to campaign types with stronger conversion results."
OUT0151,39,4265773.74,86175155.55,49858.0,28.29,20.2,4.95,Moderate,Low,Marketing efficiency is within the middle range of outlet performance. Conversion rate is among the stronger outlet results. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring marketing performance and optimize campaigns using sales and conversion trends.,63.23,Moderate,40,52703,7445,2.23,16,1,Digital Campaign,14.13,Moderate,"Marketing effectiveness is 63.2/100 (Moderate). Campaign ROI averages 2.23, with 14.13% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0152,38,1413335.73,28755000.49,54136.0,20.04,20.35,4.92,Moderate,Low,Marketing efficiency is within the middle range of outlet performance. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring marketing performance and optimize campaigns using sales and conversion trends.,57.11,Moderate,40,62703,6011,1.33,4,21,Digital Campaign,9.59,Needs Improvement,"Marketing effectiveness is 57.1/100 (Moderate). Campaign ROI averages 1.33, with 9.59% engagement across 40 campaigns.","Review low-ROI campaigns, narrow audience targeting, and move budget to campaign types with stronger conversion results."
OUT0153,40,5345933.17,102746534.07,64964.0,27.77,19.22,5.2,Needs Improvement,Medium,Marketing efficiency is below the lower-performing outlet range. Conversion rate is among the stronger outlet results. Marketing spend represents a relatively lower proportion of sales revenue.,Review marketing campaigns and redirect spending toward better-performing activities.,62.87,Moderate,40,69777,9720,2.23,15,1,Digital Campaign,13.93,Moderate,"Marketing effectiveness is 62.9/100 (Moderate). Campaign ROI averages 2.23, with 13.93% engagement across 40 campaigns.",Test campaign offers and targeting to improve conversion while protecting revenue per marketing rupee.
OUT0154,37,2207974.09,47361448.1,30084.0,18.22,21.45,4.66,Moderate,Low,Marketing efficiency is among the stronger outlet results. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring successful campaigns and consider scaling effective activities.,54.71,Moderate,40,43646,3915,1.86,10,11,Digital Campaign,8.97,Moderate,"Marketing effectiveness is 54.7/100 (Moderate). Campaign ROI averages 1.86, with 8.97% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0155,40,2493787.63,55163992.06,86658.0,19.58,22.12,4.52,Moderate,Low,Marketing efficiency is among the stronger outlet results. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring successful campaigns and consider scaling effective activities.,63.44,Moderate,40,109376,10591,2.08,14,4,Digital Campaign,9.68,Moderate,"Marketing effectiveness is 63.4/100 (Moderate). Campaign ROI averages 2.08, with 9.68% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0156,37,3693855.75,65470139.05,49816.0,23.59,17.72,5.64,Needs Improvement,Medium,Marketing efficiency is below the lower-performing outlet range. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Review marketing campaigns and redirect spending toward better-performing activities.,55.15,Moderate,40,64825,7719,1.74,2,1,Digital Campaign,11.91,Moderate,"Marketing effectiveness is 55.1/100 (Moderate). Campaign ROI averages 1.74, with 11.91% engagement across 40 campaigns.",Test campaign offers and targeting to improve conversion while protecting revenue per marketing rupee.
OUT0157,39,2649064.73,56586212.19,63642.0,34.45,21.36,4.68,High Performing,Low,Marketing efficiency is among the stronger outlet results. Conversion rate is among the stronger outlet results. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring successful campaigns and consider scaling effective activities.,71.88,Moderate,40,47997,8233,1.89,11,0,Digital Campaign,17.15,Moderate,"Marketing effectiveness is 71.9/100 (Moderate). Campaign ROI averages 1.89, with 17.15% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0158,40,8217442.4,177855605.66,133794.0,26.77,21.64,4.62,High Performing,Low,Marketing efficiency is among the stronger outlet results. Conversion rate is among the stronger outlet results. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring successful campaigns and consider scaling effective activities.,73.99,Moderate,40,156784,21080,2.98,20,2,Digital Campaign,13.45,High Performing,"Marketing effectiveness is 74.0/100 (Moderate). Campaign ROI averages 2.98, with 13.45% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0159,40,2119799.54,42851542.18,45058.0,16.66,20.21,4.95,Needs Improvement,Medium,Marketing efficiency is within the middle range of outlet performance. Conversion rate is below the lower-performing outlet range. Marketing spend represents a relatively lower proportion of sales revenue.,"Improve campaign targeting, customer engagement, offers, and conversion-focused activities.",53.05,Moderate,40,64209,5241,1.62,7,11,Digital Campaign,8.16,Moderate,"Marketing effectiveness is 53.0/100 (Moderate). Campaign ROI averages 1.62, with 8.16% engagement across 40 campaigns.",Test campaign offers and targeting to improve conversion while protecting revenue per marketing rupee.
OUT0160,39,3517676.2,74918842.99,51027.0,20.05,21.3,4.7,Moderate,Low,Marketing efficiency is among the stronger outlet results. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring successful campaigns and consider scaling effective activities.,58.37,Moderate,40,71467,7152,2.34,18,1,Digital Campaign,10.01,High Performing,"Marketing effectiveness is 58.4/100 (Moderate). Campaign ROI averages 2.34, with 10.01% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0161,40,3130837.66,58289721.13,35980.0,17.49,18.62,5.37,Needs Improvement,High,Marketing efficiency is below the lower-performing outlet range. Conversion rate is below the lower-performing outlet range. Marketing spend represents a relatively lower proportion of sales revenue.,"Review marketing campaigns and redirect spending toward better-performing activities. Improve campaign targeting, customer engagement, offers, and conversion-focused activities.",50.01,Moderate,40,54488,4796,1.65,6,5,Digital Campaign,8.8,Moderate,"Marketing effectiveness is 50.0/100 (Moderate). Campaign ROI averages 1.65, with 8.80% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0162,40,1018055.15,18729811.86,24470.0,14.76,18.4,5.44,Needs Improvement,High,Marketing efficiency is below the lower-performing outlet range. Conversion rate is below the lower-performing outlet range. Marketing spend represents a relatively lower proportion of sales revenue.,"Review marketing campaigns and redirect spending toward better-performing activities. Improve campaign targeting, customer engagement, offers, and conversion-focused activities.",46.05,Moderate,40,34399,2383,1.0,2,27,Digital Campaign,6.93,Needs Improvement,"Marketing effectiveness is 46.0/100 (Moderate). Campaign ROI averages 1.00, with 6.93% engagement across 40 campaigns.","Review low-ROI campaigns, narrow audience targeting, and move budget to campaign types with stronger conversion results."
OUT0163,39,2588442.61,49386543.87,51184.0,21.27,19.08,5.24,Needs Improvement,Medium,Marketing efficiency is below the lower-performing outlet range. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Review marketing campaigns and redirect spending toward better-performing activities.,55.66,Moderate,40,61980,6531,1.54,3,9,Digital Campaign,10.54,Moderate,"Marketing effectiveness is 55.7/100 (Moderate). Campaign ROI averages 1.54, with 10.54% engagement across 40 campaigns.",Test campaign offers and targeting to improve conversion while protecting revenue per marketing rupee.
OUT0164,40,1501982.36,30207657.73,40704.0,13.79,20.11,4.97,Needs Improvement,Medium,Marketing efficiency is within the middle range of outlet performance. Conversion rate is below the lower-performing outlet range. Marketing spend represents a relatively lower proportion of sales revenue.,"Improve campaign targeting, customer engagement, offers, and conversion-focused activities.",49.99,Moderate,40,64933,4299,1.4,6,20,Digital Campaign,6.62,Moderate,"Marketing effectiveness is 50.0/100 (Moderate). Campaign ROI averages 1.40, with 6.62% engagement across 40 campaigns.",Test campaign offers and targeting to improve conversion while protecting revenue per marketing rupee.
OUT0165,40,5144840.94,99693497.85,102965.0,21.69,19.38,5.16,Moderate,Low,Marketing efficiency is within the middle range of outlet performance. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring marketing performance and optimize campaigns using sales and conversion trends.,62.43,Moderate,40,141417,15456,2.19,18,1,Digital Campaign,10.93,Moderate,"Marketing effectiveness is 62.4/100 (Moderate). Campaign ROI averages 2.19, with 10.93% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0166,38,5630389.39,108586776.44,75338.0,20.81,19.29,5.19,Needs Improvement,Medium,Marketing efficiency is below the lower-performing outlet range. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Review marketing campaigns and redirect spending toward better-performing activities.,58.39,Moderate,40,113798,12049,2.39,18,2,Digital Campaign,10.59,High Performing,"Marketing effectiveness is 58.4/100 (Moderate). Campaign ROI averages 2.39, with 10.59% engagement across 40 campaigns.",Test campaign offers and targeting to improve conversion while protecting revenue per marketing rupee.
OUT0167,38,3994784.62,71392451.88,50447.0,26.02,17.87,5.6,Needs Improvement,Medium,Marketing efficiency is below the lower-performing outlet range. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Review marketing campaigns and redirect spending toward better-performing activities.,57.49,Moderate,40,58264,7651,1.88,8,3,Digital Campaign,13.13,Moderate,"Marketing effectiveness is 57.5/100 (Moderate). Campaign ROI averages 1.88, with 13.13% engagement across 40 campaigns.",Test campaign offers and targeting to improve conversion while protecting revenue per marketing rupee.
OUT0168,40,1067842.27,21275840.25,44592.0,24.39,19.92,5.02,Moderate,Low,Marketing efficiency is within the middle range of outlet performance. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring marketing performance and optimize campaigns using sales and conversion trends.,58.92,Moderate,40,38187,4373,1.13,2,24,Digital Campaign,11.45,Needs Improvement,"Marketing effectiveness is 58.9/100 (Moderate). Campaign ROI averages 1.13, with 11.45% engagement across 40 campaigns.","Review low-ROI campaigns, narrow audience targeting, and move budget to campaign types with stronger conversion results."
OUT0169,40,2343131.71,47070518.02,47412.0,22.55,20.09,4.98,Moderate,Low,Marketing efficiency is within the middle range of outlet performance. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring marketing performance and optimize campaigns using sales and conversion trends.,57.99,Moderate,40,51484,5669,1.62,5,13,Digital Campaign,11.01,Moderate,"Marketing effectiveness is 58.0/100 (Moderate). Campaign ROI averages 1.62, with 11.01% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0170,40,1616878.99,29899597.43,39518.0,18.83,18.49,5.41,Needs Improvement,Medium,Marketing efficiency is below the lower-performing outlet range. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Review marketing campaigns and redirect spending toward better-performing activities.,51.31,Moderate,40,46992,4249,1.21,5,24,Digital Campaign,9.04,Needs Improvement,"Marketing effectiveness is 51.3/100 (Moderate). Campaign ROI averages 1.21, with 9.04% engagement across 40 campaigns.","Review low-ROI campaigns, narrow audience targeting, and move budget to campaign types with stronger conversion results."
OUT0171,39,5459027.97,115247587.52,116992.0,27.72,21.11,4.74,High Performing,Low,Marketing efficiency is among the stronger outlet results. Conversion rate is among the stronger outlet results. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring successful campaigns and consider scaling effective activities.,71.97,Moderate,40,129301,18031,2.7,22,0,Digital Campaign,13.94,High Performing,"Marketing effectiveness is 72.0/100 (Moderate). Campaign ROI averages 2.70, with 13.94% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0172,40,2244488.21,43204216.98,31348.0,14.29,19.25,5.2,Needs Improvement,High,Marketing efficiency is below the lower-performing outlet range. Conversion rate is below the lower-performing outlet range. Marketing spend represents a relatively lower proportion of sales revenue.,"Review marketing campaigns and redirect spending toward better-performing activities. Improve campaign targeting, customer engagement, offers, and conversion-focused activities.",47.88,Moderate,40,53072,3715,1.49,5,15,Digital Campaign,7.0,Moderate,"Marketing effectiveness is 47.9/100 (Moderate). Campaign ROI averages 1.49, with 7.00% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0173,37,1960617.82,38380216.5,26188.0,14.64,19.58,5.11,Needs Improvement,Medium,Marketing efficiency is within the middle range of outlet performance. Conversion rate is below the lower-performing outlet range. Marketing spend represents a relatively lower proportion of sales revenue.,"Improve campaign targeting, customer engagement, offers, and conversion-focused activities.",48.14,Moderate,40,46563,3356,1.43,5,17,Digital Campaign,7.21,Moderate,"Marketing effectiveness is 48.1/100 (Moderate). Campaign ROI averages 1.43, with 7.21% engagement across 40 campaigns.",Test campaign offers and targeting to improve conversion while protecting revenue per marketing rupee.
OUT0174,40,2197998.63,42033919.8,74743.0,21.02,19.12,5.23,Needs Improvement,Medium,Marketing efficiency is below the lower-performing outlet range. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Review marketing campaigns and redirect spending toward better-performing activities.,58.22,Moderate,40,84077,8753,1.42,3,16,Digital Campaign,10.41,Moderate,"Marketing effectiveness is 58.2/100 (Moderate). Campaign ROI averages 1.42, with 10.41% engagement across 40 campaigns.",Test campaign offers and targeting to improve conversion while protecting revenue per marketing rupee.
OUT0175,40,4704837.9,103271994.74,216987.0,34.32,21.95,4.56,High Performing,Low,Marketing efficiency is among the stronger outlet results. Conversion rate is among the stronger outlet results. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring successful campaigns and consider scaling effective activities.,90.3,High Performing,40,185067,32097,2.57,25,0,Digital Campaign,17.34,High Performing,"Marketing effectiveness is 90.3/100 (High Performing). Campaign ROI averages 2.57, with 17.34% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0176,37,2676099.08,54040957.03,33342.0,14.37,20.19,4.95,Needs Improvement,Medium,Marketing efficiency is within the middle range of outlet performance. Conversion rate is below the lower-performing outlet range. Marketing spend represents a relatively lower proportion of sales revenue.,"Improve campaign targeting, customer engagement, offers, and conversion-focused activities.",49.77,Moderate,40,64843,4666,1.74,4,4,Digital Campaign,7.2,Moderate,"Marketing effectiveness is 49.8/100 (Moderate). Campaign ROI averages 1.74, with 7.20% engagement across 40 campaigns.",Test campaign offers and targeting to improve conversion while protecting revenue per marketing rupee.
OUT0177,39,5363961.77,108328757.38,73694.0,22.63,20.2,4.95,Moderate,Low,Marketing efficiency is within the middle range of outlet performance. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring marketing performance and optimize campaigns using sales and conversion trends.,61.25,Moderate,40,100891,11487,2.38,16,1,Digital Campaign,11.39,High Performing,"Marketing effectiveness is 61.2/100 (Moderate). Campaign ROI averages 2.38, with 11.39% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0178,40,5670612.9,118164568.54,106759.0,23.81,20.84,4.8,Moderate,Low,Marketing efficiency is among the stronger outlet results. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring successful campaigns and consider scaling effective activities.,67.09,Moderate,40,136628,16443,2.5,22,2,Digital Campaign,12.03,High Performing,"Marketing effectiveness is 67.1/100 (Moderate). Campaign ROI averages 2.50, with 12.03% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0179,39,7774955.35,148389322.05,86436.0,24.03,19.09,5.24,Needs Improvement,Medium,Marketing efficiency is below the lower-performing outlet range. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Review marketing campaigns and redirect spending toward better-performing activities.,62.0,Moderate,40,116675,13902,2.38,18,3,Digital Campaign,11.92,High Performing,"Marketing effectiveness is 62.0/100 (Moderate). Campaign ROI averages 2.38, with 11.92% engagement across 40 campaigns.",Test campaign offers and targeting to improve conversion while protecting revenue per marketing rupee.
OUT0180,39,2214309.1,44061902.26,31715.0,24.83,19.9,5.03,Moderate,Low,Marketing efficiency is within the middle range of outlet performance. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring marketing performance and optimize campaigns using sales and conversion trends.,57.78,Moderate,40,31608,3898,1.64,8,13,Digital Campaign,12.33,Moderate,"Marketing effectiveness is 57.8/100 (Moderate). Campaign ROI averages 1.64, with 12.33% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0181,38,4399928.61,85707847.68,94104.0,20.19,19.48,5.13,Moderate,Low,Marketing efficiency is within the middle range of outlet performance. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring marketing performance and optimize campaigns using sales and conversion trends.,60.35,Moderate,40,141467,14571,2.19,14,1,Digital Campaign,10.3,Moderate,"Marketing effectiveness is 60.4/100 (Moderate). Campaign ROI averages 2.19, with 10.30% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0182,39,3934186.91,74434017.38,50761.0,16.77,18.92,5.29,Needs Improvement,High,Marketing efficiency is below the lower-performing outlet range. Conversion rate is below the lower-performing outlet range. Marketing spend represents a relatively lower proportion of sales revenue.,"Review marketing campaigns and redirect spending toward better-performing activities. Improve campaign targeting, customer engagement, offers, and conversion-focused activities.",51.61,Moderate,40,87403,7428,1.99,8,4,Digital Campaign,8.5,Moderate,"Marketing effectiveness is 51.6/100 (Moderate). Campaign ROI averages 1.99, with 8.50% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
